,title
0,เมื่อผมไปซื้อยาแก้ไอกับ เภสัช
1,แชร์ประสบการณ์รักษา ริดสีดวง หายได้…ไม่ต้องผ่าแล้ว
2,ยารักษาโรคซึมเศร้า 2 ตัวนี้ต่างกันยังไงหรอคะ? effexor 3.75 กับ valosine 75
3,ร้านขายยา ร้านไหนขายถูกครับ
4,อยากเปิดร้านขายอุปกรณ์สำหรับผู้ป่วย ต้องขึ้นทะเบียนไหม ใครทราบบ้าง
5,รบกวนถามเรื่องยาพ่นจมูกแก้ภูมิแพ้หน่อยค่ะ
6,ผู้ป่วยมะเร็ง ระยะ4 มียาที่จะต่อชีวิตได้ แต่ยามีราคาสูงมาก ไม่มีความสามารถซื้อควรทำอย่างไรดีครับ
7,สงสัยเรื่องยานอร์จีสิค
8,สอบถามโรคคาวาซากิ
9,⭐ Minoxidil สำหรับคนผมร่วง หัวล้าน ยี่ห้อไหน ก็เหมือนกันรึเปล่าครับ? 5% กับ 15% ทาแบบไหนดีครับ?
10,แชร์ประสบการณ์ ไอต่อเนื่อง 3-4 เดือน ไอทั้งวันทั้งคืน จนพบสาเหตุและหายไอ
11,[CR] รีวิว ยาพ่นจมูก ใครเป็นภูมิแพ้ คัดจมูก เข้ามาครับ!
12,เป็นเริมครั้งแรก กลุ้มใจมากอยากได้คำแนะนำที่เป็นข้อมูลทางวิชาการที่เชื่อถือได้ค่ะ
13,ฮอโมนเพศชาย มันมีขายและเขากินกัน หรือเปล่าครับ
14,เตือนภัย !! ยาอันตรายมีผลต่อตับและอาการท้องเสีย
15,ยาอะไรอะคับ คลินิก ทั่วฟ้าเมืองไทย ไม่เคยเขียนกำกับเลย
16,... Mianserin / Risperidone GPO / Clonazepam ยารักษาโรคซึมเศร้าตัวไหนทำให้น้ำหนักขึ้นไวครับ ?
17,+++++++ หมอที่บังคับให้ทานยาลดไขมัน atorvastatin เดี๋ยวนี้มีเยอะค่ะ มาดูอันตรายของมันกัน +++++++=
18,รบกวนชี้เป้าที่ซื้อสมุนไพรจีนบรรเทาอาการแพ้ที่สูงที่ชื่อ “หงจิ่นเทียน” หน่อยค่ะ ไปเดินหาที่เยาวราชแล้วไม่เจอ
19,มีใครเคยทานยา Sertraline ไหมครับ หลังหยุดยามีอาการถอนยาไหม ?
20,สงสัยเรื่องแพ้ผงชูรสครับ ขอเชิญคุณหมอและผู้มีประสบการณ์ช่วยชี้แนะ
21,มีตุ่มเหมือนขนลุก แต่เป็นตลอดเวลา เป็นอะไรคะ มีรูป
22,เป็นแผลที่ลิ้นใช้ยาทาอะไรดีครับ
23,ขอความรู้เรื่องยา prednisolone 5mg ว่า เม็ดสีขาว กับ เม็ดสีชมพู มันต่างกันยัง ไงครับ
24,แฟนไม่ชอบกินยา จะพูดยังไงดีครับ
25,คนที่เป็นซึมเศร้า ใช้เวลารักษานานแค่ไหนคะกว่าหมอจะให้หยุดยา
26,เป็นตาปลา ทำยังไงให้หลุดออกเร็วแล้วง่ายหายขาด โดยไม่ต้องไปหาหมอ
27,ต่อมลูกหมากโต ทานยา doxazosin แล้วทนผลข้างเคียงไม่ไหว
28,ใครเคยกินยา Doxycycline รักษาสิวบ้างค่ะ
29,อาหารเสริม Code for Men ดีไหม รีวิวหน่อย
30,วัคซีนงูสวัด รพ.รัฐ มีไหมครับ
31,โรคเก๊ามียารักษาให้หายขาดใหมครับ
32,กินยารักษาปลายประสาทอักเสบ กับนิวโรเบียน ได้ไหมคะ
33,ร้านขายยาถูกๆแถว วังหลัง ศิริราช เทเวศร์
34,แม่เริ่มใช้ยา tarceva อยากรบกวนถามท่านที่เคยใช้หรือใช้อยู่ค่ะ
35,[CR] รีวิวการใช้บริการร.พ.ลาดพร้าว (แบบประกันสังคม+เงินนิดๆ) ในวันที่แอดมิทนอนร.พ.
36,ช่วยด่วน มือถูกพริก แสบมาก ตอนนี้มือแดง นิ้วมือเต้นตุบๆ
37,ยาแก้อักเสบสิว2ชนิดนี้ต่างกันไหมครับ
38,ราคายาของโรงพยาบาลแพงเกินไปไหม
39,กลูโคซามิน ควรกินต่อเนื่อง หรือมีช่วงหยุดพักคะ
40,รักษาภูมิแพ้ที่มูลนิธิเทียนฟ้า
41,อาการเวลาเสพยาบ้า?
42,ยานอกบัญชีกับยาในบัญชียาหลักแห่งชาติต่างกันยังไงค่ะ
43,มะเร็งตับกับ การใช้ยา nexarvar ตอบสนองต่อโรคหรือไม่ดูอย่างไร ครับ
44,ใครมีที่ซื้อยา sorafenib/ nexavar ราคาโอเคบ้างคะ
45,12 ยาสามัญประจำบ้าน ควรรู้ในญี่ปุ่น เรื่องโดย ครบเครื่องเรื่องญี่ปุ่น
46,ยาแก้ไอ ที่มีประสิทธิภาพดีที่สุด
47,"[CR][SR] แบ่งปันประสบการณ์รักษาภูมิแพ้กับ ""แพทย์แผนจีน"""
48,ถามวิธีเลิก/ถอนยานอนหลับ ให้กลับมาหลับโดยธรรมชาติ
49,ยาพ่นจมูกผสมสเตียรอยด์ VS ไม่ผสมสเตียรอยด์
50,เมื่อผมไปซื้อยาแก้ไอกับ เภสัช
51,แชร์ประสบการณ์รักษา ริดสีดวง หายได้…ไม่ต้องผ่าแล้ว
52,ยารักษาโรคซึมเศร้า 2 ตัวนี้ต่างกันยังไงหรอคะ? effexor 3.75 กับ valosine 75
53,ร้านขายยา ร้านไหนขายถูกครับ
54,อยากเปิดร้านขายอุปกรณ์สำหรับผู้ป่วย ต้องขึ้นทะเบียนไหม ใครทราบบ้าง
55,รบกวนถามเรื่องยาพ่นจมูกแก้ภูมิแพ้หน่อยค่ะ
56,ผู้ป่วยมะเร็ง ระยะ4 มียาที่จะต่อชีวิตได้ แต่ยามีราคาสูงมาก ไม่มีความสามารถซื้อควรทำอย่างไรดีครับ
57,สงสัยเรื่องยานอร์จีสิค
58,สอบถามโรคคาวาซากิ
59,⭐ Minoxidil สำหรับคนผมร่วง หัวล้าน ยี่ห้อไหน ก็เหมือนกันรึเปล่าครับ? 5% กับ 15% ทาแบบไหนดีครับ?
60,แชร์ประสบการณ์ ไอต่อเนื่อง 3-4 เดือน ไอทั้งวันทั้งคืน จนพบสาเหตุและหายไอ
61,[CR] รีวิว ยาพ่นจมูก ใครเป็นภูมิแพ้ คัดจมูก เข้ามาครับ!
62,เป็นเริมครั้งแรก กลุ้มใจมากอยากได้คำแนะนำที่เป็นข้อมูลทางวิชาการที่เชื่อถือได้ค่ะ
63,ฮอโมนเพศชาย มันมีขายและเขากินกัน หรือเปล่าครับ
64,เตือนภัย !! ยาอันตรายมีผลต่อตับและอาการท้องเสีย
65,ยาอะไรอะคับ คลินิก ทั่วฟ้าเมืองไทย ไม่เคยเขียนกำกับเลย
66,... Mianserin / Risperidone GPO / Clonazepam ยารักษาโรคซึมเศร้าตัวไหนทำให้น้ำหนักขึ้นไวครับ ?
67,+++++++ หมอที่บังคับให้ทานยาลดไขมัน atorvastatin เดี๋ยวนี้มีเยอะค่ะ มาดูอันตรายของมันกัน +++++++=
68,รบกวนชี้เป้าที่ซื้อสมุนไพรจีนบรรเทาอาการแพ้ที่สูงที่ชื่อ “หงจิ่นเทียน” หน่อยค่ะ ไปเดินหาที่เยาวราชแล้วไม่เจอ
69,มีใครเคยทานยา Sertraline ไหมครับ หลังหยุดยามีอาการถอนยาไหม ?
70,สงสัยเรื่องแพ้ผงชูรสครับ ขอเชิญคุณหมอและผู้มีประสบการณ์ช่วยชี้แนะ
71,มีตุ่มเหมือนขนลุก แต่เป็นตลอดเวลา เป็นอะไรคะ มีรูป
72,เป็นแผลที่ลิ้นใช้ยาทาอะไรดีครับ
73,ขอความรู้เรื่องยา prednisolone 5mg ว่า เม็ดสีขาว กับ เม็ดสีชมพู มันต่างกันยัง ไงครับ
74,แฟนไม่ชอบกินยา จะพูดยังไงดีครับ
75,คนที่เป็นซึมเศร้า ใช้เวลารักษานานแค่ไหนคะกว่าหมอจะให้หยุดยา
76,เป็นตาปลา ทำยังไงให้หลุดออกเร็วแล้วง่ายหายขาด โดยไม่ต้องไปหาหมอ
77,ต่อมลูกหมากโต ทานยา doxazosin แล้วทนผลข้างเคียงไม่ไหว
78,ใครเคยกินยา Doxycycline รักษาสิวบ้างค่ะ
79,อาหารเสริม Code for Men ดีไหม รีวิวหน่อย
80,วัคซีนงูสวัด รพ.รัฐ มีไหมครับ
81,โรคเก๊ามียารักษาให้หายขาดใหมครับ
82,กินยารักษาปลายประสาทอักเสบ กับนิวโรเบียน ได้ไหมคะ
83,ร้านขายยาถูกๆแถว วังหลัง ศิริราช เทเวศร์
